,clip,annotator_id,prolific_user,annotator_gender,annotator_origin,movies_recognition,actors_recognition,experim_group,intensity,variability,gender,frame_start,movie,quartile,sum,exp_sum,face_id,type
74,74250_62_kvant,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,2,3,Male,74250,QuantumOfSolaceHM,q1,2.40804040636488,0.0129116070754982,33,H
75,39881_66_bright,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,2,Female,39881,BrightStarAM,q2,9.724813924915193,0.0576389520887808,26,A
76,39881_66_bright,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,5,Female,39881,BrightStarAM,q2,9.724813924915193,0.0576389520887808,26,A
77,39881_66_bright,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,6,Female,39881,BrightStarAM,q2,9.724813924915193,0.0576389520887808,26,A
78,39881_66_bright,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,1,5,Female,39881,BrightStarAM,q2,9.724813924915193,0.0576389520887808,26,A
79,39881_66_bright,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,5,Female,39881,BrightStarAM,q2,9.724813924915193,0.0576389520887808,26,A
80,56722_117_allornothing,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,2,Male,56722,AllOrNothingAM,q4,14.96127489501722,0.0906565089993259,34,A
81,56722_117_allornothing,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,2,4,Male,56722,AllOrNothingAM,q4,14.96127489501722,0.0906565089993259,34,A
82,56722_117_allornothing,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,5,2,Male,56722,AllOrNothingAM,q4,14.96127489501722,0.0906565089993259,34,A
83,56722_117_allornothing,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,6,2,Male,56722,AllOrNothingAM,q4,14.96127489501722,0.0906565089993259,34,A
84,56722_117_allornothing,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,3,Male,56722,AllOrNothingAM,q4,14.96127489501722,0.0906565089993259,34,A
85,15217_21_bright,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,2,Male,15217,BrightStarAM,q2,6.151729987161423,0.0351057825658173,6,A
86,15217_21_bright,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,5,5,Male,15217,BrightStarAM,q2,6.151729987161423,0.0351057825658173,6,A
87,15217_21_bright,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,4,4,Male,15217,BrightStarAM,q2,6.151729987161423,0.0351057825658173,6,A
88,15217_21_bright,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,1,5,Male,15217,BrightStarAM,q2,6.151729987161423,0.0351057825658173,6,A
